-0.408979,-0.41769,-0.421915
-0.430024,-0.415281,-0.417248
-0.42319,-0.409282,-0.414921
-0.433796,-0.413941,-0.418226
-0.426854,-0.409193,-0.410565
-0.382339,-0.414868,-0.39666
-0.433558,-0.388073,-0.38853
-0.45943,-0.36137,-0.396915
-0.321717,-0.3883,-0.410257
-0.368845,-0.422181,-0.425193
-0.419898,-0.427499,-0.438387
-0.426747,-0.426964,-0.446956
-0.451582,-0.42901,-0.449592
-0.455817,-0.430619,-0.446788
-0.437697,-0.431481,-0.437454
-0.437334,-0.433448,-0.432105
-0.401481,-0.42999,-0.437334
-0.427851,-0.43354,-0.441493
-0.444976,-0.426879,-0.439619
-0.43174,-0.436148,-0.440827
-0.426914,-0.427689,-0.450576
-0.442749,-0.428913,-0.455057
-0.464264,-0.434692,-0.455998
-0.445275,-0.439953,-0.455339
-0.453664,-0.433307,-0.456582
-0.450966,-0.433999,-0.451203
-0.461737,-0.43547,-0.449076
-0.42537,-0.448699,-0.45659
-0.454324,-0.437541,-0.464486
-0.46935,-0.437735,-0.461633
-0.454708,-0.439517,-0.45822
-0.424362,-0.441838,-0.459308
-0.466116,-0.439387,-0.461266
-0.443249,-0.440069,-0.463384
-0.451805,-0.444429,-0.464888
-0.468836,-0.446797,-0.465099
-0.471569,-0.449763,-0.4639
-0.471911,-0.448407,-0.462989
-0.433992,-0.449049,-0.461341
-0.465033,-0.445848,-0.458838
